file_name,time,ent_count,sims_count,repetition
Generalbundesanwalt klagt ISIS-Braut Leonora M. an _ Regional _ BILD.de.pdf,8.669338299999936,22,118,2
Gib G(r)as!_ Polizei schnappt zugedröhnten Rasenmäher-Tuner (26) _ Regional _ BILD.de.pdf,2.524167200000079,6,8,2
Halle_ Mutmaßliches Drogen-Quartett vor Gericht _ Regional _ BILD.de.pdf,11.449335299999916,18,152,2
In der Pfalz_ Suff-Fahrer zerlegen ihre Autos _ Regional _ BILD.de.pdf,5.065987299999961,8,42,2
Mia (6) und Lio (3) erstickt_ Mord-Anklage gegen Mutter Johanna E.! _ Regional _ BILD.de.pdf,11.911705900000015,19,160,2
Mönchengladbach_ Mann und Frau nach Bluttat auf Feldweg festgenommen _ Regional _ BILD.de.pdf,4.099061099999972,12,28,2
Neonazi-Aktion in Dortmund_ Polizei durfte Ex-Feuerwehrchef nicht durchsuchen _ Regional _ BILD.de.pdf,13.092702499999973,19,112,2
Passant schwer verletzt_ Polizei jagt skrupellosen Raser _ Regional _ BILD.de.pdf,7.767463000000021,19,82,2
Prozess gegen den Kannibalen von Pankow beginnt am 10. August! _ Regional _ BILD.de.pdf,7.209236200000078,15,80,2
Prozess gegen mutmaßlichen Todesschützen_ Waffen-Arsenal in Geister-Villa _ Regional _ BILD.de.pdf,3.8425540999999157,7,20,2
Prozess in Mönchengladbach_ Rentner raste betrunken in Spielmannszug _ Regional _ BILD.de.pdf,2.988433900000018,7,12,2
Prozess vor Berliner Landgericht - Kumpel mit Stahlkappen-Schuhen fast zu Tode getreten_  _ Regional _ BILD.de.pdf,6.846889899999951,15,68,2
Samuel Yeboah starb 1991 bei Brandanschlag_ Plakate erinnern an ermordeten Flüchtling _ Regional _ BILD.de.pdf,4.6354489000000285,17,56,2
Sie überfielen einen Juwelier_ Diese Polizisten sind Räuber und Gendarm _ Regional _ BILD.de.pdf,4.56435840000006,12,28,2
Solingen_ Wurde Todesmutter Christiane K. von ihrem Vater missbraucht_ _ Regional _ BILD.de.pdf,9.358413299999938,17,116,2
